day,new_infections
168.0,108.68537344647794
169.0,107.27181204514402
170.0,105.88769778326929
171.0,104.53494344598046
172.0,103.20726360808287
173.0,101.89525703959289
174.0,100.58676181492321
175.0,99.26862827359776
176.0,97.93181290011016
177.0,96.57331845236467
178.0,95.19111386431662
179.0,93.78286860020091
180.0,92.35017498280145
181.0,90.89598603093741
182.0,89.42326668041044
183.0,87.9328508401998
184.0,86.424440613205
185.0,84.902578480669
186.0,83.37452065984455
187.0,81.84493716838529
188.0,80.31405412807264
189.0,78.77571883982831
190.0,77.2268777130982
191.0,75.66913361888608
192.0,74.1044255764278
193.0,72.53873301042195
194.0,70.98071497124046
195.0,69.4375681507227
196.0,67.91255251995685
197.0,66.40821671663645
198.0,64.92887511449199
199.0,63.475355692772105
200.0,62.049945445727325
201.0,60.65532915066737
202.0,59.2959219752187
203.0,57.97570997810805
204.0,56.69331955436281
205.0,55.44401756576119
206.0,54.22745309208628
207.0,53.04475723896655
208.0,51.89226732022693
209.0,50.767027469333996
210.0,49.665865142096585
211.0,48.58425091270683
212.0,47.52161776829704
213.0,46.483134067522194
214.0,45.47419224829392
215.0,44.49553039790567
216.0,43.54416936947652
217.0,42.61703010257449
218.0,41.71374384566964
219.0,40.836177828060784
220.0,39.98501573755712
221.0,39.16152734522563
222.0,38.36931232265074
223.0,37.61372857987121
224.0,36.897911210781324
225.0,36.22222954818374
226.0,35.586418830511064
227.0,34.992372951702684
228.0,34.44217805344103
229.0,33.936310426825365
230.0,33.472215575387914
231.0,33.046568518149066
232.0,32.657374347068725
233.0,32.29967099238299
234.0,31.97058947409801
235.0,31.66944499215069
236.0,31.400490333361
237.0,31.1691215556045
238.0,30.980364584417533
239.0,30.840418835023534
240.0,30.754565614828355
241.0,30.72212723928081
242.0,30.742205210712093
243.0,30.81418630405387
244.0,30.938001440533913
245.0,31.11204202815161
246.0,31.332168041372785
247.0,31.59075118095938
248.0,31.879877293805677
249.0,32.19300198772682
250.0,32.525889602788055
251.0,32.880416154160464
252.0,33.258102820236935
253.0,33.6574209689266
254.0,34.07662461359444
255.0,34.5107752375114
256.0,34.954323178432155
257.0,35.403337174825126
258.0,35.85233641775417
259.0,36.29588914170036
260.0,36.728857933001564
261.0,37.147782054467605
262.0,37.54753120605298
263.0,37.9222358414379
264.0,38.267405441802715
265.0,38.58129900604026
266.0,38.864360673347434
267.0,39.11890427514267
268.0,39.35049379105994
269.0,39.561812783205085
270.0,39.75328748575182
271.0,39.923904061095094
272.0,40.07410803072704
273.0,40.206239297734946
274.0,40.324375060743094
275.0,40.43269228344003
276.0,40.53586316800737
277.0,40.63367128323512
278.0,40.72175225633049
279.0,40.790677619845866
280.0,40.835585301527836
281.0,40.85585363572216
282.0,40.851941812464304
283.0,40.82588593245172
284.0,40.782576816687396
285.0,40.72556855574536
286.0,40.656925457928516
287.0,40.581292233845716
288.0,40.50444892582435
289.0,40.42767928218035
290.0,40.352765704669565
291.0,40.28037550447901
292.0,40.20788749208276
293.0,40.13442518069488
294.0,40.05735827646218
295.0,39.97118663294631
296.0,39.87208324369087
297.0,39.760336600391476
298.0,39.63575624555454
299.0,39.498036203474534
300.0,39.3509718129542
301.0,39.19938334143536
302.0,39.05086627396978
303.0,38.91370672971325
304.0,38.79445146454626
305.0,38.69573690732096
306.0,38.61577219619603
307.0,38.54893431016004
308.0,38.48903663908855
309.0,38.429638277150225
310.0,38.36399142467359
311.0,38.28871287297344
312.0,38.203792399544824
313.0,38.1138858341052
314.0,38.029175443290185
315.0,37.95731605482723
316.0,37.9028646048616
317.0,37.87290900802682
318.0,37.87339672532528
319.0,37.90855343100639
320.0,37.984038780803765
321.0,38.10116560974588
322.0,38.25876476546982
323.0,38.45305286456036
324.0,38.681065169262865
325.0,38.94111307269256
326.0,39.23015498118257
327.0,39.54569462671676
328.0,39.88475191428951
329.0,40.24542535544532
330.0,40.627199206881535
331.0,41.02816822643377
332.0,41.442887291607434
333.0,41.86537527507094
334.0,42.28982196572552
335.0,42.7080363285066
336.0,43.10948332707766
337.0,43.47957630906772
338.0,43.80466677800807
339.0,44.07447018365632
340.0,44.2808096567445
341.0,44.42150100532331
342.0,44.5012840072697
343.0,44.52562062511345
344.0,44.50180596204518
345.0,44.439347229868176
346.0,44.34476043709506
347.0,44.12621450676128
348.0,43.92653672831091
349.0,43.733001418302784
350.0,43.53816634662947
351.0,43.338328702578565
352.0,43.13176524308298
353.0,42.917758375111774
354.0,42.696321754720195
355.0,42.46807757537958
356.0,42.23401191236754
357.0,41.99528286887436
358.0,41.753218878943464
359.0,41.509211144218625
360.0,41.264421342156396
361.0,41.01984678960048
362.0,40.77617520873831
363.0,40.533764847382855
364.0,40.29285363290207
