03/24 14:36:57 [DEBUG] [122020] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
03/24 14:42:32 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:37 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:43 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:48 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:53 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:42:58 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:03 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:08 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:13 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:18 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:23 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:29 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:34 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:39 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:44 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:49 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:54 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:43:59 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:44:04 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:44:09 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:44:15 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:44:20 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:44:25 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:44:30 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:44:35 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:44:40 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
03/24 14:44:45 [DEBUG] [122020] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=d0c4b6d0-e88c-eb11-a2ce-c4346bcb1550', 'count': 100000}
