archetype,drug_type,screen_type,interval,itn_coverage,hs_rate,within_school_coverage,out_of_school_rate,smc,scenario_number
Sahel,SPAQ,IST,term,default,default,0.9,0.15,True,15
Sahel,SPAQ,IST,term,default,default,0.9,0.3,False,16
Sahel,SPAQ,IST,term,default,default,0.9,0.3,True,17
Sahel,SPAQ,IST,month,default,default,0.9,0.0,False,18
Sahel,SPAQ,IST,month,default,default,0.9,0.0,True,19
Sahel,SPAQ,IST,month,default,default,0.9,0.15,False,20
Sahel,SPAQ,IST,month,default,default,0.9,0.15,True,21
Sahel,SPAQ,IST,month,default,default,0.9,0.3,False,22
Sahel,SPAQ,IST,month,default,default,0.9,0.3,True,23
Sahel,DP,IPT,term,default,default,0.9,0.0,False,24
Sahel,DP,IPT,term,default,default,0.9,0.0,True,25
Sahel,DP,IPT,term,default,default,0.9,0.15,False,26
Sahel,DP,IPT,term,default,default,0.9,0.15,True,27
Sahel,DP,IPT,term,default,default,0.9,0.3,False,28
Sahel,DP,IPT,term,default,default,0.9,0.3,True,29
Sahel,DP,IPT,month,default,default,0.9,0.0,False,30
Sahel,DP,IPT,month,default,default,0.9,0.0,True,31
Sahel,DP,IPT,month,default,default,0.9,0.15,False,32
Sahel,DP,IPT,month,default,default,0.9,0.15,True,33
Sahel,DP,IPT,month,default,default,0.9,0.3,False,34
Sahel,DP,IPT,month,default,default,0.9,0.3,True,35
Sahel,DP,IST,term,default,default,0.9,0.0,False,36
Sahel,DP,IST,term,default,default,0.9,0.0,True,37
Sahel,DP,IST,term,default,default,0.9,0.15,False,38
Sahel,DP,IST,term,default,default,0.9,0.15,True,39
Sahel,DP,IST,term,default,default,0.9,0.3,False,40
Sahel,DP,IST,term,default,default,0.9,0.3,True,41
Sahel,DP,IST,month,default,default,0.9,0.0,False,42
Sahel,DP,IST,month,default,default,0.9,0.0,True,43
Sahel,DP,IST,month,default,default,0.9,0.15,False,44
Sahel,DP,IST,month,default,default,0.9,0.15,True,45
Sahel,DP,IST,month,default,default,0.9,0.3,False,46
Sahel,DP,IST,month,default,default,0.9,0.3,True,47
Sahel,DP,IPT,month,high,default,0.9,0.15,True,48
Sahel,DP,IPT,month,default,low,0.9,0.15,True,49
Sahel,DP,IPT,month,default,default,1.0,0.15,True,50
Sahel,DP,IPT,day,default,default,1.0,0.0,True,51
Sahel,None,None,None,default,default,0.9,0.0,True,52
Sahel,None,None,None,high,default,0.9,0.15,True,53
Sahel,None,None,None,default,default,0.9,0.0,False,54
