age_cov,cov_all,fast_fraction,fulldate,grid_cell,min_season_cov
0.65,0.647058823529412,0.6,2014-07-05,80,0.5
0.65,0.6,0.6,2014-09-12,80,0.5
0.65,0.647058823529412,0.6,2017-07-05,80,0.5
0.65,0.6,0.6,2017-09-12,80,0.5
0.65,0.25,0.6,2009-06-02,81,0.5
0.65,0.32,0.6,2010-06-02,81,0.5
0.65,0.375,0.6,2011-06-02,81,0.5
0.65,0.3,0.6,2012-06-02,81,0.5
0.65,0.55,0.6,2014-07-13,81,0.5
0.65,0.42857142857142894,0.6,2014-08-07,81,0.5
0.65,0.55,0.6,2017-07-13,81,0.5
0.65,0.42857142857142894,0.6,2017-08-07,81,0.5
0.65,0.25,0.6,2009-06-02,82,0.5
0.65,0.32,0.6,2010-06-02,82,0.5
0.65,0.375,0.6,2011-06-02,82,0.5
0.65,0.3,0.6,2012-06-02,82,0.5
0.65,0.8,0.6,2014-06-11,82,0.5
0.65,1.0,0.6,2014-08-06,82,0.5
0.65,0.8,0.6,2017-06-11,82,0.5
0.65,1.0,0.6,2017-08-06,82,0.5
0.65,0.25,0.6,2009-06-02,83,0.5
0.65,0.32,0.6,2010-06-02,83,0.5
0.65,0.375,0.6,2011-06-02,83,0.5
0.65,0.3,0.6,2012-06-02,83,0.5
0.65,0.5,0.6,2013-02-22,83,0.5
0.65,0.25,0.6,2009-06-02,84,0.5
0.65,0.32,0.6,2010-06-02,84,0.5
0.65,0.375,0.6,2011-06-02,84,0.5
0.65,0.3,0.6,2012-06-02,84,0.5
0.65,0.25,0.6,2009-06-02,85,0.5
0.65,0.32,0.6,2010-06-02,85,0.5
0.65,1.0,0.6,2012-08-15,85,0.5
0.65,0.25,0.6,2009-06-02,86,0.5
0.65,0.32,0.6,2010-06-02,86,0.5
0.65,0.375,0.6,2011-06-02,86,0.5
0.65,0.3,0.6,2012-06-02,86,0.5
0.65,0.9047619047619052,0.6,2014-06-03,86,0.5
0.65,0.5714285714285711,0.6,2014-12-06,86,0.5
0.65,0.9047619047619052,0.6,2017-06-03,86,0.5
0.65,0.5714285714285711,0.6,2017-12-06,86,0.5
0.65,0.25,0.6,2009-06-02,87,0.5
0.65,0.32,0.6,2010-06-02,87,0.5
0.65,0.375,0.6,2011-06-02,87,0.5
0.65,0.3,0.6,2012-06-02,87,0.5
0.65,0.45,0.6,2014-08-05,87,0.5
0.65,0.7142857142857142,0.6,2014-09-09,87,0.5
0.65,0.45,0.6,2017-08-05,87,0.5
0.65,0.7142857142857142,0.6,2017-09-09,87,0.5
0.65,0.25,0.6,2009-06-02,88,0.5
0.65,0.32,0.6,2010-06-02,88,0.5
0.65,0.375,0.6,2011-06-02,88,0.5
0.65,0.3,0.6,2012-06-02,88,0.5
0.65,0.666666666666667,0.6,2014-06-21,88,0.5
0.65,0.583333333333333,0.6,2014-11-23,88,0.5
0.65,0.666666666666667,0.6,2017-06-21,88,0.5
0.65,0.583333333333333,0.6,2017-11-23,88,0.5
0.65,0.25,0.6,2009-06-02,89,0.5
0.65,0.32,0.6,2010-06-02,89,0.5
0.65,0.375,0.6,2011-06-02,89,0.5
0.65,0.3,0.6,2012-06-02,89,0.5
